pcc_id,recipe_name,recipe_links,author,recipe_image,recipe_overview,recipe_description,recipe_tags,recipe_ingredients,recipe_directions,external_url
100011,Haute Grilled Avocados,https://www.pccmarkets.com/recipe/haute-grilled-avocados/,,,"Prep Time: 15 minutes
Serves: 4
Ingredient Notes: Vegetarian, Vegan, Corn-free, Dairy-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,,"['2 large ripe avocados', '2 tablespoons fresh lime or lemon juice', '1 1/2 tablespoons olive oil', 'Salt to taste', '1/2 cup fresh salsa, optional']","['Cut avocado in half, seed, peel and slice. Drizzle with fresh lime or lemon juice and brush lightly with olive oil. Gently place slice on grill over hot coals for two minutes on each side. Season with salt to taste.', 'Cut avocado in half and remove seed. Drizzle with fresh lime or lemon juice and brush lightly with olive oil. Gently place cut-side down on grill over hot coals for 2 to 3 minutes. Season with salt to taste.', 'Optional: fill grilled avocado half with fresh salsa or your favorite fresh ingredients.']",https://www.pccmarkets.com
100012,Bagna Cauda,https://www.pccmarkets.com/recipe/bagna-cauda/,"By Lynne Vea, PCC Cooks instructor",,"Serves: 6 to 8
Ingredient Notes: Corn-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,,"['6 ounces butter', '4 cloves garlic, grated or finely minced', '1 cup extra-virgin olive oil', '4 ounces anchovies, finely chopped and mashed', '2 tablespoons finely chopped parsley', 'Squeeze fresh lemon juice', 'A squeeze of fresh lemon juice']","['Melt the butter in a small saucepan and add the olive oil, garlic and anchovies and heat gently. Stir in the parsley and lemon juice and transfer the mixture to a fondue pot or chafing dish and serve warm with vegetables for dipping.', 'A few suggested vegetables: fennel bulb, artichokes, red and yellow bell peppers, carrots, celery, radishes, broccoli, cauliflower, zucchini, small whole mushrooms, cherry tomatoes, Belgian endive.']",https://www.pccmarkets.com
100013,Italian Sausage-Stuffed Mushrooms,https://www.pccmarkets.com/recipe/italian-sausage-stuffed-mushrooms/,"By Lynne Vea, PCC Chef",,"Yields: 12
Ingredient Notes: Corn-free, Dairy-free, Peanut-free, Soy-free, Tree nut-free",,"MUSHROOMS
SAUSAGE","['12 white mushrooms, stems removed', '2 tablespoons extra virgin olive oil', '2 cloves garlic, minced', '1 pound bulk Italian sausage (pork, chicken or turkey)', '1/4 cup breadcrumbs', '1 egg', '2 tablespoons chopped parsley or basil']","['Preheat oven to 400° F.', 'Finely chop mushroom stems. Heat oil over medium heat and cook stems and garlic until tender. Allow to cool slightly, then combine with remaining ingredients.', 'Place a generous mound of stuffing in each mushroom cap. Bake for 15 to 20 minutes or until sizzling and sausage is cooked through.']",https://www.pccmarkets.com
100014,Cauliflower Fritters,https://www.pccmarkets.com/recipe/cauliflower-fritters/,,https://www.pccmarkets.com/wp-content/uploads/2017/09/pcc-cauliflower-fritters-flo.jpg,"Serves: 8
Ingredient Notes: Vegetarian, Corn-free, Peanut-free, Soy-free, Tree nut-free",,"CAULIFLOWER
POMEGRANATES","['3/4 cup plain yogurt', '1 teaspoon cumin, divided', 'Salt and pepper, to taste', '1 head (about 1 pound) cauliflower, cut into florets', '1/2 cup all-purpose flour', '2 tablespoons chopped fresh mint, plus additional for serving', '1 teaspoon lemon zest', '1 teaspoon coriander', '1 egg, beaten', 'Oil, for frying', '1 cup pomegranate arils']","['Combine yogurt, 1/2 teaspoon cumin, salt and pepper in a small bowl; set aside.', 'Cook cauliflower in salted simmering water until al dente, about 5 minutes. Drain well. Mash or chop cauliflower into small pieces.', 'In a small bowl, whisk together flour, mint, lemon zest, coriander, remaining 1/2 teaspoon cumin, salt and pepper. Toss flour mixture with cauliflower; stir in egg.', 'Heat oil in a large skillet over medium-high heat. Add about 1/4 cup cauliflower batter to the pan and flatten slightly. Cook until golden and crisp, 3 to 5 minutes; flip fritters and repeat until golden and crisp. Drain on paper towels. Repeat with remaining batter.', 'Serve fritters warm, dolloped with yogurt spread and sprinkled with pomegranate arils and mint.']",https://www.pccmarkets.com
100015,Pork And Spinach Dumplings,https://www.pccmarkets.com/recipe/pork-and-spinach-dumplings/,,,"Yields: about 40 dumplings
Ingredient Notes: Dairy-free, Egg-free, Peanut-free, Tree nut-free",,PORK,"['1 pound ground pork', '1 (10-ounce) bag frozen spinach, defrosted and squeezed dry', '2 tablespoons cornstarch', '3 teaspoons fresh minced ginger', '2 teaspoons minced garlic', '2 tablespoons tamari', '1 tablespoon rice vinegar', '1 (12-ounce) package wonton wrappers', 'High-heat oil, for cooking']","['Mix pork, spinach, cornstarch, ginger, garlic, tamari and vinegar in a bowl; set aside.', 'Place 1 scant tablespoon filling in the center of a wonton wrapper. Using your fingers, moisten the edges of the wrapper with water; fold in half and press to seal. You can pinch and twist the edges to form tiny “bags” or pleat the edges together for a traditional look. Repeat with remaining filling and wrappers; set aside.', 'Heat a large skillet over medium-¬high heat and add enough oil to lightly coat. Working in batches so you don’t overcrowd the pan, place dumplings in the skillet and cook until bottoms are golden and crisp, 3 to 5 minutes. Add 1/4 cup water to the skillet; cover and steam for 5 minutes']",https://www.pccmarkets.com
100016,Waffle Fry Nacho Bites,https://www.pccmarkets.com/recipe/waffle-fry-nacho-bites/,,https://www.pccmarkets.com/wp-content/uploads/2017/09/pcc-waffle-fry-nacho-bites-flo.jpg,"Serves: 8
Ingredient Notes: Vegetarian, Vegan, Corn-free, Dairy-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,APPETIZERS,"['1 (20-ounce) package waffle fries', '1 cup guacamole', '1 cup black beans, rinsed and drained', '1/4 cup crumbled queso fresco cheese (optional)', 'Chopped fresh cilantro, for serving']","['Preheat oven to 425° F. Place waffle fries on a baking sheet lined with parchment paper and bake according to package directions. Let cool for 5 minutes.', 'To assemble nacho bites, top each fry with a dollop of guacamole, beans and crumbled cheese. Return to the oven and cook an additional 5 minutes to warm through and melt cheese. Sprinkle with cilantro and serve immediately.']",https://www.pccmarkets.com
100017,Shrimp Cucumber Cups,https://www.pccmarkets.com/recipe/shrimp-cucumber-cups/,,,"Yields: 24
Ingredient Notes: Corn-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,SHRIMP,"['1/2 cup bay shrimp, chopped', '1/2 cup fromage blanc cheese, at room temperature', '2 tablespoons thinly sliced chives', '1/2 to 1 1/2 teaspoons harissa, to taste', '1 tablespoon rinsed and chopped preserved lemon', 'Salt and pepper, to taste', '2 English cucumbers, cut into 2-inch pieces']","['In a bowl, mix together shrimp, cheese, chives, harissa, lemon, salt and pepper; set aside.', 'Using a melon baller or spoon, carefully hallow out the center of each cucumber piece. Divide shrimp-cheese mixture among each cucumber. Serve immediately or refrigerate.']",https://www.pccmarkets.com
100018,Cherry-Pistachio Brie En Croute,https://www.pccmarkets.com/recipe/cherry-pistachio-brie-en-croute/,,https://www.pccmarkets.com/wp-content/uploads/2017/08/pcc-cherry-pistachio-brie-en-croute-flo.jpg,"Serves: 10
Ingredient Notes: Vegetarian, Corn-free, Peanut-free, Soy-free",,"CHEESE
HOLIDAYS","['Flour, for rolling', '1 sheet frozen puff pastry, thawed but cold', '1 (8-ounce) wheel Brie cheese, cold', '1/4 cup cherry jam', '1/4 cup toasted pistachios, chopped', '1 egg beaten with 1 tablespoon water, for egg wash', 'Fennel seeds, for sprinkling']","['Preheat oven to 400° F. Line a baking sheet with parchment paper.', 'On a lightly floured surface, roll pastry to a 14-inch square. Trim edges to form a circle; set scraps aside. Spread jam in the center of dough about 1 inch wider than Brie; sprinkle with pistachios. Place Brie on top of jam and fold pastry to cover cheese. Trim excess pastry and press to seal. Brush seam with egg wash and place seam-side down on the prepared baking sheet. Decorate top with pastry scraps, if desired. Brush with egg wash and sprinkle with fennel seeds.', 'Bake until pastry is golden brown, 20 to 25 minutes. Let stand for at least 15 minutes before serving.']",https://www.pccmarkets.com
100019,Mini Beet Green Frittatas,https://www.pccmarkets.com/recipe/mini-beet-green-frittatas/,,https://www.pccmarkets.com/wp-content/uploads/2017/08/pcc-mini-beet-green-frittatas-flo.jpg,"Yields: 6
Ingredient Notes: Vegetarian, Corn-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,"EGGS
GREENS","['1 tablespoon oil, plus additional for pan', '1/2 bunch beet greens', '2 tablespoons minced shallots', '2 cloves garlic, minced', 'Pinch of red pepper flakes', '3 tablespoons red wine vinegar', 'Salt and pepper, to taste', '1 cup egg whites', '1/2 cup whole milk', '1/4 cup shredded Gruyere cheese']","['Preheat oven to 375° F. Generously spray 6 muffin cups with oil.', 'Remove stems from leaves; finely chop stems and leaves and keep separated.', 'Heat oil in a sauté pan over medium heat. Add stems, shallots and garlic and cook until stems are just tender, 5 to 7 minutes. Stir in leaves, red pepper flakes and vinegar. Cover and cook until leaves are tender, stirring occasionally, about 5 minutes. Season with salt and pepper. Let cool and squeeze out extra moisture, if necessary. Divide mixture among prepared muffin cups.', 'Whisk together egg whites, milk and cheese; season with salt and pepper. Divide between each muffin cup.', 'Bake until eggs are set and lightly golden, about 25 minutes. Let cool 10 minutes before serving or refrigerate and serve chilled.']",https://www.pccmarkets.com
100020,Blueberry-Beet Bruschetta,https://www.pccmarkets.com/recipe/blueberry-beet-bruschetta/,,https://www.pccmarkets.com/wp-content/uploads/2017/08/pcc-blueberry-beet-bruschetta-flo.jpg,"Serves: 6
Ingredient Notes: Vegetarian, Corn-free, Egg-free, Peanut-free, Soy-free, Tree nut-free",,"BEETS
BLUEBERRIES
GOAT CHEESE","['3 red or golden beets', '1 baguette, sliced on the diagonal', '2 teaspoons olive oil, plus extra for brushing', '1/2 cup fresh blueberries', '1 tablespoon balsamic vinegar', '2 tablespoons chopped fresh chives', '1 orange, zested (optional)', 'Salt and pepper, to taste', '5 ounces chèvre cheese, at room temperature']","['Preheat oven to 425° F. Wrap beets in foil and place on a baking sheet. Roast until tender, 40 to 60 minutes. Cool and peel off skins; cut beets into small cubes. Brush baguette slices with oil and place on a baking sheet. Toast until golden brown, flipping half way through, about 7 minutes.', 'In a small bowl, toss together beets, blueberries, 2 teaspoons oil, vinegar, chives, orange zest, salt and pepper. Right before serving, spread toasts with cheese and top with a spoonful of beet-blueberry mixture.']",https://www.pccmarkets.com
100021,Rosemary-Lemon Pickled Blueberries,https://www.pccmarkets.com/recipe/rosemary-lemon-pickled-blueberries/,,https://www.pccmarkets.com/wp-content/uploads/2017/08/pcc-rosemary-lemon-pickled-blueberries-flo.jpg,"Yields: 1 pint
Ingredient Notes: Vegetarian, Vegan, Corn-free, Dairy-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,"BLUEBERRIES
PICKLES","['2 cups Champagne vinegar', '6 tablespoons sugar', '2 tablespoons salt', '1 pint fresh blueberries, rinsed', '1/4 cup sliced red onions', '3 sprigs fresh rosemary', '1/2 lemon, peeled']","['Combine vinegar, sugar and salt in a saucepan. Stir to dissolve sugar and bring to a boil. Remove from the heat and let cool slightly.', 'Place blueberries, onions, rosemary and lemon peel in a clean glass jar. Carefully pour hot brine over blueberries, covering the fruit entirely. Allow to cool to room temperature, then transfer to the refrigerator. Let sit at least 24 hours for flavor to develop and use within 1 week.']",https://www.pccmarkets.com
100022,Shrimp Salad-Stuffed Tomatoes,https://www.pccmarkets.com/recipe/shrimp-salad-stuffed-tomatoes/,,,"Serves: 4
Ingredient Notes: Corn-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,"SALADS
SHRIMP","['1 pound cooked bay shrimp, chopped', '1/4 cup plain Greek yogurt', '1/2 English cucumber, seeded and minced', '2 teaspoons chopped fresh tarragon', '2 teaspoons chopped fresh parsley', '1 lemon, zested and juiced', 'Salt and pepper, to taste', '4 large tomatoes, cored']","['In a bowl, combine shrimp, yogurt, cucumbers, tarragon and parsley. Season to taste with lemon zest, juice, salt and pepper.', 'Carefully hollow out the inside of each tomato using a melon baller or spoon (see note). Divide shrimp salad among each tomato and serve immediately.']",https://www.pccmarkets.com
100023,Black Bean And Corn Dip,https://www.pccmarkets.com/recipe/black-bean-and-corn-dip/,,,"Serves: 6 as an appetizer
Ingredient Notes: Vegetarian, Vegan, Dairy-free, Egg-free, Gluten-free, Peanut-free, Soy-free, Tree nut-free",,DIPS,"['1 (14-ounce) can black beans, drained but not rinsed', '2 cups fresh or frozen (thawed) sweet corn', '1 (4-ounce) can green chiles, drained', 'Fresh cilantro, for garnishing (optional)']",['Stir all ingredients together and chill for at least 4 hours.'],https://www.pccmarkets.com
